name,total_m,segments_count,street_count
Janovík,1041.1142725720424,2,1
Uhrinčanská,1041.0121557969073,4,1
J. Stampayho,1040.482392859155,2,1
Za sédriou,1040.4568295659424,4,1
Zahrádky,1040.16485466971,2,1
Karasová,1039.6119354458717,6,2
Tekovská cesta,1039.3223007993597,6,1
Harmančeková,1039.1475604817267,6,3
Osadová cesta,1039.1358058798496,1,1
Súľovská cesta,1038.970117959224,2,1
Vislok,1038.9264736701168,1,1
Paraglidistický chodník,1038.8968112295045,2,1
Salamandra,1038.6834534613397,2,1
Viničnianska cesta,1038.6003052177653,6,1
Pietna,1038.001760890184,4,1
Baloňská cesta,1036.4178517895473,2,1
Rábska,1036.356956204612,5,1
Myrtina,1036.0869240950203,1,1
J. Stilla,1035.6649740078985,8,1
Šamarianka,1035.3933579121717,1,1
Váhová,1035.3327504541974,7,2
Humel - podlažná,1035.2260946217466,1,1
J. Goliána,1035.0398706253368,2,1
Švantnerova,1034.1392249557682,6,3
Jána Jánskeho,1033.921088950532,7,1
Pri Krásnej,1033.6899479275587,2,1
Kragujevská,1033.339900341693,11,1
Muštová,1033.1553574804866,6,4
Suchý jarok,1032.9519284386079,3,2
Biovetská,1032.856641367925,2,1
Štefánikovo námestie,1032.663019178745,17,2
Hany Ponickej,1031.990415273609,7,3
Okšovská,1031.8042685153537,8,1
Kúpalisko,1030.5823774870491,6,2
Samuela Jurkoviča,1030.5661674693977,6,3
Vinohrady Koziny,1029.496180501121,2,1
Kopanická,1028.994111742714,3,2
Za pastierňou,1028.8180576366387,1,1
Štefana Nahalku,1028.6771933712405,4,1
Bystrický rad,1028.2169875025388,8,1
Trstínska,1027.420176243318,4,1
K. Novackého,1027.1378227471698,3,1
Hnilecká cesta,1026.9277485316306,5,1
Plánočkova,1026.7714499542014,4,1
Námestie Majstra Pavla,1026.4709993924027,13,1
F. Urbánka,1026.4057023968078,5,2
poľovnícky chodník,1026.1290498101566,1,1
Sokola Perć,1025.5784648396375,1,1
Ľuborčianska,1025.416606569841,6,1
Nábrežie Rajčianky,1025.30093045781,4,1
Súvoz,1025.2531635472599,7,1
Zákostolie,1024.7945450887462,8,2
Páričkova,1024.5650466324983,14,2
Hušták,1024.3073897466115,5,1
Slovenských dobrovoľníkov,1024.277787543316,6,2
Pri starej pošte,1024.1277438812192,4,2
Riazanská,1024.029341260333,7,1
Lipowa,1023.2927200288199,3,1
Andreja Žarnova,1023.2008108673883,11,2
8. marca,1022.8201297187783,4,3
Vyšná úvrať,1022.4521982936716,8,2
Za kasárňou,1021.9207860766566,3,2
K skládke,1021.6202507071533,3,1
Prokopa Veľkého,1020.8553905248698,6,1
Prof. Čárskeho,1020.8105198206691,3,1
Bradlianska,1020.612222813162,4,2
Pokojná,1020.2992854838178,6,6
Chovateľská,1020.0640630082939,10,1
Kassai út,1020.0448974326324,2,1
Cestárska,1019.610419270924,2,2
Na kúte,1019.427123970231,8,2
Préskert telep,1018.7314987625775,6,1
Horný dvor,1018.3375650945247,4,2
Cabanova,1018.1910026822883,10,2
Karvašova,1017.5232928512758,7,1
Kláštorné námestie,1017.4952213008642,19,2
Ku amfiteátru,1016.634409684461,4,1
Nad plážou,1016.5959846758988,13,1
Most Haniska,1016.5633956637078,2,1
Veškovská,1015.9874327687666,1,1
Mlynarovičova,1015.5978941775313,5,1
Šuranská,1015.260915974074,2,1
Kramlište,1015.2321264576719,5,1
K. Braxatorisa,1015.0521944728413,10,1
Jamy,1014.882257344819,8,2
G. Czuczora,1014.7303536155049,7,3
Sedmokrásková,1014.2218189226833,8,3
Slivkový sad,1013.9843324183067,7,1
Škorčie,1013.4763011302521,3,2
Pod zvonicou,1012.6167008930835,8,3
Komáromi Kacza,1011.587433609554,2,1
Petzwalova,1010.4840771292484,4,1
Súbežná,1010.4565937349928,5,5
Gen. Viesta,1010.374163501384,6,3
Malogyňovská,1010.137050565673,2,1
Nagy-Duna sétány,1009.8339818732456,6,1
Nábrežie sv. Metoda,1009.3739719343839,8,1
Mlynské luhy,1009.3624498580692,6,1
Klinec II.,1008.618436640843,2,1
Sv. Michala,1008.435613656373,8,2
Za jarkom,1006.5808255749279,5,3
Richtárska,1006.170575169649,6,4
Rudolfa Dilonga,1006.0982486834755,4,3
Nákladné nádražie,1005.9502702937194,4,1
Za traťou,1004.9873136651527,4,3
Hríbiky,1004.6897699323122,6,1
Palatínova,1003.6830061272005,7,1
Trstinová,1003.5971923481271,6,3
Odtoky,1003.2588476450495,2,1
Hrabiny,1003.1793128953271,9,1
na Jamy,1002.6476753367851,3,1
Peterská,1002.4582763310935,4,2
487,1002.0119780723929,1,1
Dona Sandtnera,1001.9487830761609,9,1
Komjatická,1001.8667309140833,7,1
Čordákova,1001.8368969985788,6,2
Cintorínska cesta,1001.5314253476236,5,3
Czadeczka,1001.3123601787693,5,1
Pod Kopanicami,1001.2465090216177,4,1
Lastovičia,1000.8751736331748,7,4
Vlkolínec,1000.2676242969471,12,1
Čakanková,998.9862510549156,3,2
Bukovinská,998.5934400928788,6,3
Pod Žiarcom,998.534849492241,5,1
M. Bela,998.1237140602475,6,2
Nižnianska,998.042697490484,6,3
Mlynky,997.786565550048,3,1
Šafárikovo námestie,997.1504705596884,19,2
Patašská cesta,996.9992423169075,1,1
Kút,995.3655003732972,9,6
Kapitána Morávku,995.1489222568193,9,1
Konopiská,995.1061448005669,4,4
Mišíkova,994.805451366416,7,3
Zupkova,994.3698038400844,6,1
Halašova,994.2994487028216,9,3
Viničky,994.1419169722511,8,3
1. augusta,994.0247651374831,14,1
K jazeru,993.6143146629564,4,2
Mníšanská,993.5306576147441,4,1
I. P. Pavlova,993.2155493574583,4,1
Cesta olympionikov,991.1482689251735,13,1
Ďurka Langsfelda,991.0905609376956,7,3
Dolnobárska cesta,991.033827300658,1,1
Bôrová,990.7220099708502,2,2
Trávniky,990.5556022728255,5,3
Pri Poľnom Mlyne,990.3735929573664,4,1
Čakanovská,990.2468305334434,2,1
Kamenohorská,990.1406974782533,5,1
Predné Halny,990.1130741571492,5,1
Starý banský vodovod,989.6315348012563,3,2
Šaling,989.4719211274414,3,1
Radošinská,988.9986165840864,1,1
Röntgenova,988.6399650472349,3,1
Dolnočepeňská,988.460975783187,4,1
Funduš,988.2684816655303,1,1
Nad Váhom,987.4582506736718,6,1
Gessayova,986.6582864592476,7,1
Pod kláštorom,986.6138288412917,13,1
Nad Rimava,986.5678603766603,1,1
Levočská cesta,985.5449159276034,5,1
Matúšova,984.893193600142,5,2
Staré hory,983.8754202409327,3,1
Veľká ulička,983.4061714343859,3,2
Staré ihrisko,983.3338710190349,4,4
Dr. Markušovského,983.2866163553335,2,1
Gucmanova,983.1892322873979,5,1
Rumančeková,983.0438536314816,5,3
E. Adyho,982.3577577433035,7,4
Jazerný rad,981.8736229611724,1,1
Bodická,981.672788716891,6,1
Havranské,981.6319288172692,5,1
Bežecká,981.2626087688435,3,2
Madvova,981.1220645052294,3,2
Na Hlinách,981.0615789961693,10,2
Čataj,981.0079190482004,2,1
Veľkolúcka,980.8059485111805,5,1
Zidiny,980.761745516412,3,1
Mošteníkova,980.4562998974698,3,1
Samuela Kollára,980.3898692115109,3,1
Prieložky,980.2619562483701,7,1
Na Tálkoch,980.2464025136809,4,1
Zlievarenská,979.9908701407606,4,3
do Bystrého sedla,979.8583971490152,1,1
Gen. Miloša Vesela,979.6619401827618,16,1
Colnícka,979.4720475594759,3,2
Rímska,979.4659009656746,7,5
Borodáčova,979.3476892266767,6,4
Tkáčska,977.913248803544,8,4
Vyšehradská,977.7474488338775,8,1
Na rybníčkoch,976.1791452637169,3,1
Vrchná,976.1356718723803,7,4
Ku mlynu,976.0904231892673,3,2
Pod dolami,975.0734281079194,5,1
Hrdinov,973.8892593056539,5,2
Iliašovská,973.0236784054996,7,1
Jakubovská,972.7968535965457,2,1
Chalupy,972.7819512259041,2,1
J. Zemana,972.3246401859114,6,1
Pri kniežacích mohylách,971.3856040606456,5,2
Belecká,971.0924627045373,2,1
Závodská,971.0734709080463,1,1
Pradidovo,970.9123760194373,1,1
Duna dűlő,970.1181628168406,1,1
Jana A. Komenského,969.8253388969931,6,1
Vadaš,969.6485103396897,5,2
Jána Smreka,969.3822417313984,7,3
Lorinčícka,969.2586497120066,4,1
M. Galandu,968.0084244519604,4,3
Jána Lavottu,967.8070564865969,6,1
Milosrdenstva,967.7857678114606,8,1
Alej,967.5699737189124,3,2
Na Rúrkach,967.2349423817802,8,1
Brusník,967.074377594317,6,2
Majerová,966.8316584892134,6,1
Ľudovíta Bešeňovského,966.6591058089534,2,1
Edelényska,966.0186775510426,6,1
Kostolíky,965.9991943891137,2,1
K potoku,965.5078150892158,5,4
Ďurkovka,965.0845313810015,1,1
Tyrkysová,965.032103839572,7,3
Прикордонна вулиця,964.9004648064351,1,1
Tamaškovičova,964.877327264812,20,1
Bystrické sady,964.4291444181285,5,1
Ladislava Exnára,964.3275256573347,11,1
Za priepasťou,964.3044334040867,1,1
K zlatému rohu,963.5491902166591,2,1
Gronárska,962.4282600540639,6,1
Vnútorná,961.8803611972429,7,3
Búdková,961.8504456131852,5,1
Ťahanovské riadky,961.6056300460489,1,1
Poros,961.1507780716627,4,1
Učiteľská,960.9726374018147,4,2
Viktora Greschika,960.900153110817,3,1
Ortášska,960.1941343089186,4,2
Malobielická,959.3370808043678,8,1
Šafranová,959.3186710793454,9,4
Čečinová,959.1328885923457,2,2
Za krížom,958.8048325327127,1,1
Daľkovská,958.5928514695945,8,1
Brižitská,958.5760497301711,7,1
Plechotická,958.1578424199625,3,1
Koľajná,957.8552522029668,8,1
Kőbánya utca,957.7193094080094,6,1
Poničanova,957.4605531702434,3,3
Záleská,957.4398917766661,5,1
Horná Trnovská,957.3906459263135,2,1
Nad Sihoťou,956.9266187476571,7,2
Čremošná,956.8098364973115,7,1
Veľkodunajská cesta,955.6710103803904,1,1
Madách Imre utca,955.439380248185,4,1
Dúžavská cesta,955.3665054779992,4,1
Osiedle Polana Sosny,955.0907204383104,3,1
Jaselská,955.0456542394348,2,2
Do mlyna,954.3699179335601,6,2
Sengetovský chodník,953.7130338266859,1,1
Perličková,953.3997243140252,3,2
Strmé sady,953.2917260457664,9,1
Hajóvontató part,953.0909438284532,1,1
Jefremovská,952.8436023834469,1,1
Gozovská,952.7563124678035,4,1
Pod Sokolom,952.5373988984327,3,2
K. Kuzmányho,951.741931505791,8,3
Gesztenye fasor,951.7158107013512,1,1
Strážčanská spojka,951.0519474660341,4,1
Ohradská,950.9149124101583,3,2
Na hrad,950.6603878758626,1,1
Nový Gýmeš,950.3159831287053,2,1
Hybe,950.2919120182374,2,1
Kuneradce,949.7986805244084,1,1
Alžbetina,949.7855303067466,10,2
Macákova,949.7162497069957,2,1
Ipoly utca,949.4735747498084,2,2
R. Jašíka,949.2060685223945,7,4
Bedzianska cesta,949.1857002886059,13,1
Seč,949.0878885027839,1,1
banský vodovod,948.8103189600293,7,3
Paderovská,948.8102739421438,2,1
Medza,948.7039781327383,6,1
Doubravenská alej,948.3715258278855,1,1
Podzámok,948.2498495279359,10,1
Konec,947.4272536942792,1,1
Starý jarok,947.3136073146902,3,1
Konektor na Lalíky,947.0610424495396,2,1
Záhradkárska osada Padličkovo,946.8479148921623,5,1
Sietna,946.5950374679193,5,1
Porubská,946.1652082339858,8,3
Bradáčova,945.5654675091714,4,2
Kostolecká,945.3534969817986,5,1
Furtačka,945.2262071322778,2,1
Rubaňská cesta,944.7373927827979,2,1
Filická,944.6401216976438,6,1
Kortinská,944.5659040819244,4,1
Revolučná štvrť,944.2712909811409,8,1
Horné záhumnie,943.8141482792688,1,1
Floriánska,943.7474872229384,8,2
Páterova,943.488263694805,2,1
Hrabovská,942.4798314883702,2,2
Madočanská,942.1195661504186,1,1
Achátová,941.965885750387,4,4
Nový Perješ,940.8200829525179,2,1
Terezov,939.8807794235944,1,1
Ľutinská,939.7595400131095,4,1
Uherecká,939.6254898485596,5,1
stará kamenná cesta,938.5927438612663,1,1
Počkaj,938.3140225666309,2,2
Pod Kopánky,937.4878917134803,2,1
A. Škarvana,937.383446895079,5,2
Horné grunty,937.3143285734459,3,1
Studená strana,937.0945143423121,2,1
Radničná,936.7829893133575,10,6
Pánska niva,936.5532647014634,4,1
Klinec,936.3377467241891,2,1
Medzipivničná,936.2530201401215,5,1
Klenová,935.5158418380555,10,2
Kurská,935.196110386479,8,1
Lietavská,935.1562436607378,16,2
Stošická,935.1211371452746,4,1
Svíbová,935.0506645696345,2,1
Popročská,935.0364432738844,5,1
Jána Ondruša,934.8337258675084,6,1
Jána Sladkého,934.8073292076906,4,1
Kumánska,934.7372080991872,2,1
Kľučiny,934.7073849886707,4,2
Cínová,934.5430040223952,10,3
Європейська вулиця,934.2014043539642,1,1
Karolinum,934.0023800063377,5,1
Zelená stráň,933.7802848907213,16,1
Štefana Pilárika,933.306743288852,4,2
Zástranská,933.2225721828504,3,1
Lelovská,933.1943603853917,1,1
Studená dolina,933.0204948994524,3,2
Nemecká,932.9315528871209,2,1
Harcsová,932.7295775840007,2,1
Baničné,932.4590786515462,4,1
Meďovská,931.9974411499805,4,1
Lachova,931.8567263875132,7,1
Pod hájikom,931.7883807311198,5,2
Záhorská,931.126070294738,10,1
Horná Huta,930.8544920599714,6,1
Kováč Pusta,930.6674345712925,1,1
Sidónie Sakalovej,930.2017019740116,3,1
Eugena Suchoňa,929.8087188450473,3,3
Tešmácka cesta,929.6645371824197,2,1
Dlhé Vysoké pole,928.7478968741189,1,1
Damborského,928.6370717185778,7,3
Kollárovo námestie,928.5009975604726,21,2
Pažítková,928.0532429780849,5,3
Hozník,928.0465308421374,3,1
Ostredková,928.0206749460399,6,1
Páleničné,927.5324454677809,6,1
Rómska,927.4014957130519,5,1
Dózsa György utca,927.2389084450858,4,3
Tehliarska cesta,927.2364861004246,2,1
Bakulíniho,926.6769427813705,6,2
Kysihýbeľská,926.3095786803051,6,1
J. J. Kmeťa,925.7895115987084,2,1
Regrútska,925.502545191113,3,1
Malodunajská cesta,925.4968856588197,1,1
Kuneradská cesta,925.1114261858661,3,1
Rozálka,924.9679460270742,2,1
Most Sverepec I,924.7372880557388,4,1
Námestie gen. M. R. Štefánika,924.4852383264573,8,3
Nový Majer,924.3135954196025,1,1
Osada Dankó Pistu,924.1447727946481,4,1
Poniklecová,923.5085157473809,3,3
Severné nábrežie,923.3772697063467,3,1
Pod Kicorou,923.2716009659807,2,1
Vidrmoch,923.0809340785459,8,1
Belopotockého,922.9187649167052,11,3
Wolkrova,922.5399059775165,7,2
ONCSA,922.1728508948512,4,1
Uhliarska,921.0954685955899,3,3
Tinesová - severná,920.9340254194353,1,1
Čiližská,920.8951460453752,7,2
Jégého,920.8538409503439,16,2
I. československej brigády,920.472928001283,6,1
Polianky,919.960458390304,8,1
Námestie Milana Rastislava Štefánika,919.9118583941687,11,2
Nižná brána,919.8522006616695,14,1
Brežný riadok,919.7127727820484,5,1
Viešťanská,919.6935502478052,6,1
Povstania,919.3458575476122,5,2
R. Dilonga,919.0106773412035,3,2
Šenkvická,918.9431572650983,5,2
Stará Stupavská,918.917698195409,5,1
Protinapoleónsky val,918.4996809622289,1,1
Antona Bielka,918.3631382706608,3,1
Ťaskovka,918.3615482476662,1,1
Na Graniari,917.5479939005028,3,1
Osada Reviczkého,917.3946641664529,3,1
Bajčská,916.6228947173609,3,2
Máchova,916.1867106114669,3,2
Pod Banošom,916.0765856461346,8,1
Rúbaňská,916.0074188425831,4,1
Andreja Trúchleho Sytnianskeho,915.6047174077411,7,1
Veľká Urbankova,915.2820091985149,1,1
Gyár utca,915.1948419773299,2,1
Komársky rad,915.1610724785851,2,1
Zlievárenská,914.8791532561395,4,1
Jarošov chodník,913.5094713901025,2,1
Maximiliána Hella,913.4007344988783,8,2
Húskova,912.8977227890188,3,1
Nábrežie 4. apríla,912.8783977674912,4,1
Štermenská,912.5324061396927,5,1
Nánanská cesta,912.0454214760998,4,1
József Attila utca,911.7240863773301,3,2
Kejďák,911.2149039321205,1,1
Hornozemská cesta,911.0852071785741,2,1
Horná panská,910.9170147909991,3,1
Horné Rakovce,910.8876234711211,5,2
Na kameni,910.700582625675,4,3
Konopniská,910.0274917398435,2,2
Hôrecká cesta,909.8403416446313,2,1
Stará Poštová,909.6927103669605,2,1
Cementárenská cesta,909.4009277285361,6,1
Sládkovičovská,909.3982806123415,3,1
Ochtinská,908.8583046185855,4,1
Šaľská,908.5008573797919,14,1
Kalinová,908.4984652444697,6,4
Gen. Goliana,907.9459496399475,6,2
Dunajskostredská,907.9331613967182,4,1
Viedenská,907.7289028324857,1,1
Kempelenova,907.7045735402468,6,2
Barčianska,907.573182549562,3,1
Múzejná,907.5019424498533,9,3
Pod Šalgovíkom,907.414876306559,2,1
Na Drienok,907.3679110873015,3,1
Andraščíkova,906.6829506770916,6,2
Mlynská zem,905.9008716099063,1,1
Druhá strana - smer Úboč,905.8974008248612,1,1
Pletiarska,905.7978600081747,4,1
Rózsafa út,905.7151685919434,1,1
Kanianska,905.4863283511452,3,1
Pod Dúbravou,905.4278593381209,6,4
Štvrtocká,905.385042447824,8,2
Senická,905.1940061724752,4,4
Pri Majeri,905.1649496163818,6,3
Bažantnica,904.504403941714,2,2
Na vrátkach,904.3470479771256,1,1
Johna Dopyeru,903.8221941830911,10,1
Makovická,903.5137014509523,3,3
Mikuláša Dohnányho,902.9069172322571,5,2
Malokajalská,902.235710421106,4,1
Traťová,901.9019443665356,8,3
Mikulská cesta,901.7654191385382,3,1
Bratské,901.66069384878,3,2
Nozdrkovce,901.6505211545434,4,1
Holíčska,901.1814465430728,8,1
trail Skala,901.1375179242051,1,1
Medzi jarkami,901.0958729027401,8,1
Nábrežie Belanky,901.0133829825561,2,1
Vyšné Hrady,900.7703325451171,4,2
Bohatská,900.5495607433245,2,1
Jenisejská,900.210154620115,3,1
Hornokynecká,899.6193748804923,2,1
Pod Hájkom,899.4230776672605,6,2
Suché mýto,898.9482107317929,32,1
Irkutská,898.6810873802617,9,2
Na karasiny,898.0435761050159,6,1
Učňovská,897.9335549135835,3,2
Zákuť,897.8531266096857,1,1
Dodekova,897.769713379115,3,1
Rybárikov laz,897.4397652158316,2,1
Námestie Slov. nár. povst.,896.9360870957189,12,1
Strednočepeňská,896.4833420220905,3,1
Nad ihriskom,896.1127554851117,4,2
M. Schneidra-Trnavského,895.6620754813916,3,2
Slančícka,895.0683336319523,5,1
Salibská cesta,894.8299168144601,1,1
Dolný rad,894.0367178178456,3,2
Kukučka,893.8355995873032,2,1
Nábrežie Dr. Aurela Stodolu,893.6885775728789,7,1
Lamač,893.4334959709485,2,1
Pod Šípkom,892.9786388317934,5,1
Beethovenova,892.3097195243771,6,2
Jagned,892.2665323205774,4,1
Mušinka,892.2428352945631,7,1
Bieloruská,892.2148339278446,4,2
Hornosecká,892.1444840220638,2,2
Tunel Poľana,892.0875788629195,1,1
Za Vodou,892.0022346854543,7,2
Krasovského,891.9558284245464,17,1
Na Záhumnie,891.938455193502,5,2
J. Palárika,891.6444975787056,6,3
Obidza,891.4212585069636,3,1
Pavla Jozefa Šafárika,891.0920902034685,4,3
Machulinská,891.058842001818,5,1
Na Koziarke,891.0397967708126,5,2
Majora Antona Matúška,890.8046804054582,4,2
Malé námestie,890.7629194775593,7,1
Ladomirov,890.6376863840703,3,1
Námestie sv. Mikuláša,890.5722368077733,22,2
Apátska,890.4419986766019,1,1
Valal,890.385272929144,3,2
Ivana Bukovčana,890.1750451503939,7,1
Hornoštálska cesta,890.1247374106752,2,1
Dvor Bibic,889.7548863215119,1,1
Kopaničky,889.6604314703723,4,3
Nad Sadmi,889.560830841088,1,1
Sihotská,888.9107688367552,3,2
Za borom,888.7519867713987,1,1
Zapotok,888.2212221750912,2,1
Mariánska cesta,888.1960570241406,3,1
Boky F-Line,888.0186924201549,1,1
Nový diel,887.695607365186,2,1
Mansueta Olšovského,887.6569601293188,1,1
Kamenné,887.580180903423,5,1
Viktorínova,887.4805542587178,8,2
Lapšárska,887.3295180313188,3,1
Mokraď,887.0037460652906,6,2
Drevená,886.4401132969437,14,6
Dr. Jána Rumanna,886.1299912218162,5,1
Zavoda,885.8863854126157,4,2
Pálffyho,885.6067300060664,5,2
Vetrová,885.5328157279632,8,2
Hať Podharajch,885.0200475945713,9,1
Slnečná ulica,884.7042202792397,3,2
Bencúrova,884.3586926020936,3,3
K Okruhliaku,884.0272655120676,7,1
Andreja Halašu,883.9169574086765,4,1
Na strelnici,883.3451036687421,4,1
Hamuljakova,882.8229207717334,5,2
Mojšanská,882.5779214486516,2,1
Varbói út,882.3458082750235,1,1
Záhradkárska osada,882.2816555617221,5,1
Orešianska,881.6848003921714,2,1
Dubová cesta,881.6704302680571,1,1
Gergelova,881.6080724720215,1,1
Grôň,881.4571172602757,2,1
Stará Klenová,880.4061408212366,7,1
Tatarkova,879.5506716583559,11,3
Šimonovská,879.2021862305614,1,1
Vlčí Grund,879.1596533121344,4,1
Českej Lípy,878.4523702280599,7,1
Podhradská cesta,878.1166626631535,1,1
Gárdonyská,878.103371140844,3,1
Šľachtiteľská,877.678631828898,4,2
Teriakovská,877.4146424533312,7,1
Dolné Rakovce,877.2240150094435,4,1
Hlaváčikova,877.1302458788653,6,1
Hlavná I,876.9905272475103,3,1
Býčia,876.9729529633196,3,2
Medzi vodami,876.8795224347871,5,3
Határ út,876.5625387319809,3,1
Vršacká,876.5030295931715,2,1
Čakanská cesta,876.4084585736059,5,2
Tri vody IV,876.2778706084141,4,1
Sinec,876.1492095952467,3,2
Giraltovská,875.5557362909315,5,1
Trlinská,874.7369199759567,3,1
Viktora Naďa,874.7259881139445,2,1
Kosodrevinová,874.4382386694999,5,1
Dušianická,874.349911070479,1,1
Pavlovova,874.3468783049385,8,3
Stará cesta na vinice,874.2266586900572,3,1
Zápotocká,874.0058853457684,2,1
Spojová,873.9034310884656,5,2
Engelsova,873.4318143264161,6,1
Slov. Raja,873.4012669126317,1,1
Ostál II,873.229669326831,1,1
Š. Náhalku,873.1665241777547,10,2
Francovce,872.6167805846171,2,1
Kolmá,872.2827485006256,6,3
J. I. Bajzu,872.0836134661836,8,3
Revúcka,871.6646386674298,3,2
Ipolypart utca,870.8743987997935,6,1
Čičovská,870.6602491682097,4,1
Vinohradská cesta,870.5914368633945,1,1
Dolné Fafáky,870.4923846551876,2,1
Slanisko,870.0927078205162,4,1
Bielych albatrosov,869.7347277741152,2,1
Jána Hálu,869.484790122661,6,1
Záhradkárska osada Gliane,869.3627706294924,4,1
Cesta svätého Krištofa,869.3374252254343,2,1
Pri píle,868.972719749101,4,3
Malý Pered,868.4224360449359,1,1
Trhovište,868.3881656419048,6,1
Jágerňa,868.3715311262628,2,1
Malá Hora,868.2002587070474,6,1
J. Fándlyho,868.1842046993524,7,3
Brunské,868.1576760095967,1,1
Rumunský rad,868.0921687691908,1,1
Estónska,867.8500188722115,4,1
Запорізька вулиця,867.8078263012942,2,1
Hubová,867.7780797010587,6,3
Nad potokom,867.7309143465906,4,4
Klondike singel,867.690362559834,1,1
Gorazdov,867.3736099354571,1,1
Pugačevova,866.9691216203511,5,2
Šimonovianska,866.8905532118616,1,1
Rákóczi út,866.6882004717057,1,1
Šulekovská cesta,866.5710388103159,2,1
Škutovky,866.2871350743092,3,1
Nová domovina,866.2120988744072,4,1
Pagerská,865.4753815582017,3,1
Pohánková,865.448266607606,3,1
Zlatňanská,864.9833512060042,1,1
Hlohovská,864.7839245029318,6,1
4. Nový svet,864.7519262060944,7,1
Geológiai ösvény,863.8918587939518,2,1
Blagoevova,863.8031507244937,10,1
Kameňák,863.3919054439868,1,1
Coburgova,863.2590158456837,4,1
Matúša Čáka Trenčianskeho,863.2059505650872,3,1
Cintorínsky rad,862.9851743558665,3,3
Plickova,862.7062399077278,7,2
Ondrejovská cesta,862.6498754695848,4,1
Zadunajská cesta,862.5274809847497,10,1
Chodecká,862.3729355488822,6,1
Viliamová,862.3115845631336,1,1
Pri zátoke,862.0207866031029,8,1
Chemlonská,861.5754872263249,5,1
Horovská,861.0486201160892,4,1
Lábska,861.0477412075232,4,2
Palugyayho,860.3429013297776,6,1
Andreja Svianteka,860.2522056716014,5,1
Žánovská,860.0140899507261,6,1
Mlynské pole,859.8390128561465,2,1
Devátová,859.5230183656469,2,1
Novovieska cesta,859.5023582191261,3,1
Pod baštou,859.2339589586759,2,2
Záhumnica,859.2020014417865,3,1
M. Bazovského,858.5085618783455,4,2
Mederská cesta,857.7955652353072,6,1
Pri Derni,857.5022173071019,1,1
Klenovčok,857.022967052595,5,1
Zeleninárska,856.8699209254122,5,2
Švabinského,856.29207780796,7,2
Dunasor út,856.2519055288856,4,1
Horenická,856.247912717937,13,1
Na Vtáčniku,856.2215040356504,4,1
Čaksová,855.9728633592289,1,1
Gen. L. Svobodu,855.7870285807182,4,2
Na Zábave,855.5119276540958,6,2
Turčianska Štiavnička,855.3569541751733,2,1
Hajná hora,855.3487086282886,1,1
Gumárenská,855.1206165647111,8,2
Beluša,855.033734662943,2,2
Kopcová,854.9009027704609,4,2
Tunel Svrčinovec,854.7366398021766,2,1
Borzagoš,854.2816583739801,1,1
Vígľašská,854.1469064999162,7,2
Západ slnka,853.7591076371857,4,1
Jána Stanislava,853.4430943797295,2,2
Leoša Janáčka,853.3883881308273,2,1
Janka Palu,853.3589066595343,4,1
Priemyselného parku,853.1172814283433,1,1
J. Grešáka,853.0999530052602,7,1
Diamantová,852.9922403420139,8,6
Sýkorčia,852.8354484297175,1,1
Námestie Mariánske,852.6437581755515,10,1
Sobotská,852.5096538320653,9,2
Dedinské Ostrovy,851.8496469132212,1,1
Zlatnícka dolina,851.091856829279,5,1
Esze Tamás utca,850.7945609296901,3,2
Fojstvo,850.5331562211012,1,1
Pod vŕškami,850.5234169129458,3,2
Čičarovská,850.4265841386533,3,1
Socháňova,850.1749710612046,4,2
László Amadea,850.0165984098356,2,2
Do Pešti,849.9043770884489,7,1
Dohnányho,849.8640020656397,16,2
Topoľská,849.4531641270502,2,1
Pivničná cesta,849.427136038156,3,1
Farmárska,849.3026377287542,6,3
Veľká strana,849.19597386454,7,1
Za Kurtaserskou,849.0703650784224,1,1
Devínska,848.9278474137348,5,2
Tokajka,848.0310105823189,3,1
Zvonová,847.8031531234549,9,1
K Starej tehelni,847.4097465076518,3,1
Chodník popod Účovník,846.9218438581415,1,1
Molkňa,846.8816762923041,1,1
Ketelec,846.6746266220978,3,1
Pod Uhliskom,846.620853427097,1,1
Nad Mlýnmi,846.607020097238,3,1
Tristová,846.5859797192227,9,1
Močenská,846.535259147351,2,1
Kľukatý 2,845.0854408652466,1,1
Malodunajská,844.9603408431125,6,2
Trójstyk,844.9135577300846,3,1
Jána Poničana,844.9041717773073,4,2
Dolný Balkán,843.6148579393359,1,1
Mätová,843.6123995106685,4,4
Jalec enduro trail,843.4278346453659,1,1
Dibrovova,843.3264339669856,3,2
Krmanova,843.156078896069,5,3
Stará Bobrovská,842.7292244016351,1,1
Nezvalova,842.1909534322658,3,3
Paštekárska,842.1354383675321,7,1
Slovinská,841.9718802938379,6,2
Mliekarenská,841.682112079561,9,2
Bukovinka,841.2415495830734,5,1
Petržalské korzo,840.9336942007791,18,2
Rumanova,840.3832349021566,10,2
Vinohrady Propaste,839.9231695541064,1,1
Šalkovská cesta,839.9182291277643,7,1
Plaviarska,839.9020537076364,3,1
Bebravská,839.5591038823759,6,3
Vŕšky,839.3954227247174,4,3
Námestie sv. Trojice,839.2550070300356,12,4
Pred jarkami,839.0279864045108,3,1
Gorazdovo nábrežie,838.9931545920537,5,1
Rumunská,838.7823171622371,6,4
Vrádištská,838.5103717493358,2,1
Rokošova I.,838.2035836683115,2,1
U Vaškovcov,838.1864767881997,3,1
Komárnická,837.7767866839008,2,1
