name,total_m,segments_count,street_count
Panónska cesta,12683.861031625487,100,1
Jabloňová,12622.342388190908,73,43
Nálepkova,12596.479322785255,66,21
Podzáhradná,12588.23691276988,49,18
Jazerná,12585.550820053983,50,28
Hradská,12579.111005885941,62,10
Poľovnícka,12538.889001180827,49,32
Puškinova,12531.099427167646,78,34
Familinský výhon,12487.014012802625,33,2
Podhájska,12262.845660331252,51,18
Račianska,12226.645097681001,99,2
Kuzmányho,12203.774012796035,104,30
Partizánska cesta,12065.511246379978,86,6
Rožňavská,12025.723543402024,108,8
Stromová,11993.274047267527,81,38
Danková,11897.38301218024,4,1
Tomášikova,11852.186268655192,127,12
Pezinská,11707.273062525086,103,10
Tunel Korbeľka,11627.910479314916,2,1
Široká,11501.741726628474,56,20
Vajnorská,11477.55682204809,107,3
Hradná,11439.139279726733,71,22
Lúčky,11387.890970560109,42,14
Malá,11300.860713227477,66,46
Ľ. Podjavorinskej,11278.430613080338,41,20
Chalupkova,11266.767420631748,61,24
17. novembra,11256.62272040998,67,8
Dukelská,11239.70531889469,71,19
Delava,11199.846119480544,6,1
Pažitná,11152.295729964651,47,26
Kysucká cesta,11057.691925123529,63,3
Gen. Svobodu,11016.558579347928,50,13
Pod hájom,11000.724508687996,70,13
Jelšová,10916.914689243808,75,24
Kováčska,10891.555032052482,58,22
Tanková cesta,10876.012486405572,10,1
Háj,10828.93552112098,37,6
Tulipánová,10723.38209697619,64,37
Cukrovarská,10679.67678209,65,9
Prievidzská,10675.950732594489,50,7
Nový rad,10640.686127633515,28,19
Lesnícka,10638.682124447945,54,27
Revolučná,10572.775615399576,50,19
Trieda SNP,10563.770560513098,142,2
Bajkalská,10535.331383315273,126,6
Komárňanská,10390.721383338083,66,12
Vranovská,10389.638455582959,48,6
Sokolská,10321.315444661594,49,16
Jarmočná,10308.440802331776,40,18
Malinová,10296.684724062641,67,33
Andreja Hlinku,10208.28306002416,61,17
J. A. Komenského,10130.772147830234,51,17
Jesenná,10119.997416553664,69,20
Teplická,10116.547991227333,58,9
Mládeže,10086.045147681127,51,23
Hrnčiarska,10019.872343802068,74,25
Cesta mládeže,10005.539583142692,58,2
Stará cesta,9969.820419206544,47,15
Krajná,9933.833450615897,52,29
Púpavová,9930.133100388606,60,34
Nitrianska cesta,9829.150003741039,34,4
Športovcov,9705.115588510705,53,16
Šarišská,9657.161140901251,40,13
Stredná,9560.388473237048,49,29
Alejová,9537.076075182933,71,12
Mostná,9515.705866118233,63,12
Pod záhradami,9458.669771827876,40,16
Kopanice,9436.287439817748,11,5
Terézie Vansovej,9422.104836907809,45,10
Malinovského,9407.993793468393,70,14
Červená hora,9366.864232751012,14,2
Šoltésovej,9309.934386512834,44,16
Stará,9306.066112842189,36,18
Neresnická cesta,9261.153250790834,27,4
Mostová,9209.7945234997,63,18
Lomnická,9160.346080698226,56,14
P. Jilemnického,9157.028558176642,51,11
T. G. Masaryka,9141.55303924327,78,7
Slanecká,9138.159232402446,89,2
Diel,9127.4384609351,6,3
Hraničná,9111.831097670934,69,17
Jurská cesta,9081.149627527342,12,3
Rybničná,9080.604024519123,51,14
Za humnami,9038.48828649408,33,21
Pivovarská,9020.913510376833,48,21
Bazová,9006.137871864408,54,27
Vinohrady,8930.952811476222,18,5
Záhumenská,8904.442452137693,45,17
Cabajská,8887.657180863165,35,4
Staré Levice,8885.23997009798,30,1
Strojnícka,8753.127892051323,35,3
Vlčie hrdlo,8671.114479194497,60,4
Južná trieda,8661.500346154658,104,1
Zvolenská,8609.927778176703,50,12
Vysoká,8604.13578178104,48,21
Považská,8598.632566842467,69,15
Bočná,8588.780420723637,53,30
Moldavská cesta,8584.84969832914,63,2
Dolnozemská cesta,8576.501564764023,79,1
Partizánska dolina,8574.456260990524,22,1
Sv. Cyrila a Metoda,8566.165741749866,80,12
Saratovská,8564.933118361814,74,3
J. Jesenského,8534.158200612099,50,16
Turistická,8498.301544655695,33,8
Vihorlatská,8439.712060764748,50,11
Záhumnie,8401.32956227781,37,23
Jantárová,8376.755015794462,67,12
Sabinovská,8355.19521578096,49,8
Na vŕšku,8231.309173830115,45,22
Roľnícka,8227.070443345443,48,17
Nezábudková,8177.673775794323,54,28
Rovná,8168.3638817484,49,27
Družby,8166.519610817397,40,12
Škultétyho,8160.80920777417,69,18
Kolónia,8157.985009855817,37,11
Devínska cesta,8152.320013022943,22,3
Hrdinov SNP,8133.352555836358,28,3
Jazdecká,8120.190514908431,38,10
Hodonínska,8112.5905544400375,88,5
Železničný rad,8105.280569234889,32,5
ČSA,8101.467883077113,38,6
Žilinská,8046.794920506009,42,10
Sama Chalupku,8045.648182362182,44,21
Hviezdna,8022.39088606425,51,19
Kasárenská,8000.5479334756255,43,15
Zakvášov,7994.972627960485,60,1
Západná,7991.458061481812,48,23
Rozmarínová,7972.8120448553655,51,28
Urbárska,7972.592529644933,40,20
Vodná,7937.563289103846,40,18
Droga Oswalda Balzera,7935.04637056852,19,2
Murgašova,7871.562655247913,49,20
Tlmačská cesta,7871.505609206146,18,1
Oslobodenia,7810.523953829022,30,12
Levická,7738.78208163349,46,8
Fialková,7709.485945226285,53,32
Jókaiho,7696.695664341809,33,23
Petrovianska,7609.26526569871,46,2
Blatná,7593.094887862135,28,11
Hasičská,7478.065160267389,68,24
Armádneho generála Svobodu,7477.301719913745,90,1
Vyšný koniec,7442.895698134808,22,5
Petőfiho,7429.0418188924705,23,13
