name
059008-12
Banskobystrická
banský vodovod
Banský závoz
Bány
Bányász körút
Bányatelep utca
Baracerská
Baračka
Barackos utca
Barákova
Baráky
Barancová
Baranecká
Baraniarky
Barankov most
Baranovská
Baraoltská
Baratoky
Barbušova
Barčianska
Barcíkova
Barcová
Bardejovská
Bardejovská zábava
Bardejovské kúpele
Bárdošova
Bárdyho
Barianska
Bariny
Barkási híd
Barkocziho majer
Barokovo-secesný most
Barónka
Barošova
Bárska
Bartalosova
Bártfayho
Bartókova
Bartoňova
Bartoška
Bartoškova
Bašta
Baštová
Bašťovanského
Bástya utca
Batizovská próba
Batkova
Bátori Schulcz Bódog utca
Bátorság utca
Baťova ulička
Bátovská cesta
Batsányi János utca
Bauerova
Bavlnárska
Bayerova
Bayerova záhrada
Bazalková
Bažantia
Bažantnica
Bažantnicová
Bazová
Bazovského
B. Bullu
Bebrava
Bebravská
Beckov
Beckovská
Bečov
Bécsi út
Becskedská
Bedľová
Bednárova
Bedzianska
Bedzianska cesta
Begóniová
Begova
Béke tér
Béke utca
Belá
Beladická
Bela IV.
Belajov dvor
Belániková
Belanská
Belanského
Belasá
Belecká
Belehradská
Belgická
Belianska
Belianska dedičná štôlňa
Belianske jazero
Beličkova
Belicová
Belinského
Bellova
Belohrad
Belohříbkov chodník
Belopotockého
Belső Zátony
Beluša
Belušské Slatiny
Bem József út
Bem József utca
Beňadická
Beňadická cesta
Beňadikova
Benadova
Benátska
Benčikova
Bendíčka
Bendíkova
Bendovej
Benedeka Csaplára
Benediktiho
Benediktínska
Beniakova
Benická
Benjamína Martinského
Benjamína Záhradníka
Benkova
Benkový háj
Beňovolehotská
Beňovského
Benzinolská ul.
Beöthyho
Bercsényi Miklós utca
Bercsényi utca
Berecki híd
Berecki utca
Berecký most
Berehovská
Berek horný
Berényi Zsigmond utca
Berlínska
Bernáta Hajasa
Bernatovská
Bernecká
Bernolákova
Bernolákov rad
Bernolákovská
Berylová
Berzehorská
Bešeňovská
Bešeňovská cesta
Beskidzka Zielona Ścieżka
Beskydská
Besnyeiho
Bethlen Gábor utca
Bethlen utca
Betlehem
Betlehém
Betlehemská
Betliarska
Bexápel
Bexeľ
Bežecká
Bezekova
Bezerédj utca
Bezmenná
Béžová
Bezpečnostná lávka
Bezručova
Bidovská
Biela
Biela voda
Bieleho kríža
Bielická
Bielidla
Bielisko
Bielkova
Bielocerkevská
Bielohorská
Bielokrížna
Bieloruská
Bielska
Bielych albatrosov
Biely jarok
Biely kameň
Biely kríž
"Biely Potok,Raveň"
Bieranka
Bihariho
Bihari utca
Bikač
Bikefest Enduro
BIKE park Malinô
BIKE park Malinô - 4-Monster dog
BIKE park Malinô - 9-Blizzard
Bikoš
Bilická
Bilíkova
Bílovec
Bimbulská ulica
Biovetská
Birčianska
Bircová
Biringerova
Biskupa Gojdiča
Biskupa Királya
Biskupa Klucha
Biskupa Kondého
Biskupa Majera
Biskupická
Bištava
Bitarovská cesta
Bitúnkova
Bitúnková
Bizetova
Björnsonova
Björnsterna Björnsona
B. Kubánkovej
B.Kubánkovej
Blagoevova
Blahútova
Blankytná
Blatinská
Blatná
Blatná na Ostrove
Blatnická
Blatúchová
Blavská
Blážová
Blažovská
Bleduľová
Blesková
Bliechy
Blížne doliny
Blumental pasáž
Blumentálska
Blyskáčová
B. Nemcovej
B. Němcovej
Bobište
Bobrovecký závoz
Bobuľová
Bocatiova
Bociania
Bocianova
Bočkayho námestie
Bočná
Bocskaiho rad
Bocskai István utca
Bocskai utca
Bodická
Bodnárova
Bodocká
Bodona
Bodrocká
Bodrožská
Bódva-híd
Bogda
Bogoľ
Bohatierska
Bohatská
Bohovičov
Bohrova
Bohunická
Bohúňova
Bohuslava Tablica
Bohuslavická
Bojnická
Bojnická cesta
Bökkská cesta
Bokorová pust.
Bokšanská
Boky F-Line
Boldocká cesta
Bolečkova
Bolontov
Boľská
Boncova
Boorova
Bor
Borágová
Borbisova
Bordová
Boreckého
Borekova
Borgondia
Bôrická cesta
Borievková
Bôrik
Bôrina
Borinova
Borinská
Boriny
Borkút
Borošova
Borová
Bórová
Bôrová
Borovčina
Borovianska
Borovicová
Borovicová I.
Borovicová II.
Bórovie
Borovinská
Borovinská cesta
Boroviny-Krvavník
Borovského
Borsi utca
Borská
Bory
Borzagoš
Bošácka
Bosákova
Bošániho
Bošanská
Bošianska cesta
Boskovičova
Bosniacka
Botanická
Boťanská
Botkova
Bottova
Bottyán János utca
Božčická
Boženy Nemcovej
Brabírka
Bradáčova
Bradlanská
Bradlianska
Bradlianska cesta
Brakošova
Brančíkova
Brančská
Brandzová
Branická cesta
Branisková
Branislava Lichardusa
Branovská cesta
Brathovský rad
Bratislaská cesta
Bratislavská
Bratislavská cesta
Bratislavská pasáž
Bratislavské Záhumenice
Bratov Baldigarovcov
Bratov Veselovcov
Bratrícka
Bratská
Bratské
Břeclavská
Brečtanová
Breh
Brehová
Brehovská
Brehy
Brekyňská
Brestová
Brestové
Brestovská
Brezenská
Brezianska
Brezie
Brezina
Breziny
Brežná
Breznianska kalvária
Breznická cesta
Brežný riadok
Brezová
Brezová alej
Brezovecká
Brezovian potok
Brezovická cesta
Brezovská
Brezový háj
Brezový rad
Briač
Bridlicová
Briežky
Briežok
Brigádnicka
Brigádnická
Brižitská
Brnenská
Brnenské námestie
Brnianska
Brodek
Brodná
Brodňanov dvor
Brodňanská
Brodská
Brodské
Brodzany
Brokoffova
Bronzová
Broskyňová
Brotky
Brotovo
Bršlenová
Brumovická
Brunovská lávka
Brunské
Bruntálska
Bruselská
Brusenec
Brusná
Brusnicová
Brusník
B. S. Timravy
B. Tablica
Bubnová
Buchlovská
Bučianska
Bučinka
Bučinová
Búčska cesta
Budai utca
Budanová
Budapeštianska
Budatínska
Budča
Budín
Budinská
Budínska
Búdková
Budmerická
Budovateľov
Budovateľská
Budulovská
Búdy
Budyšínska
Bufet
Bugaj
Bugajská
Bujačky
Bujnákova
Bükkfa utca
Buková
Bukovčanova
Bukovecká
Bukovinka
Bukovinová
Bukovinská
Bukovská cesta
Bukovské
Bukureštská
Bulharská
Bulíkova
Bulíková
Bullova
Burgondia
Burgundská
Burgyňová
Burgyňová II
Burianova
Burianova medzierka
Burianova Medzierka
Burkovana
Burkovaná
BUS
Buzická
Buzinská
Buzulucká
Býčia
Býčia medza
Bykov
Bylinková
Bysterecká
Byštianska
Bystra
Bystrá
Bystrého
Bystričianska cesta
Bystrická
Bystrická cesta
Bystrické sady
Bystrický rad
Bystrina
Bystrinská
Bytčianska
Bytčická
Bytovky
Bytový podnik mesta Košice
