name,total_m,segments_count
Hradná,11377.20230375565,65
Chalupkova,11336.23251812054,60
Ľ. Podjavorinskej,11261.92471073481,39
17. novembra,11253.575440988738,67
Dukelská,11251.54703862005,63
Delava,11199.846119480544,6
Kysucká cesta,11057.832076275048,62
Gen. Svobodu,11018.69010822714,50
Jelšová,10906.847280963873,72
Kováčska,10887.856552376237,56
Tanková cesta,10876.012486405572,10
Háj,10828.935521120982,37
Tulipánová,10719.894481636256,63
Cukrovarská,10679.643299317848,62
Prievidzská,10675.868013463361,50
Revolučná,10577.113399398408,42
Trieda SNP,10563.768452375702,142
Široká,10536.068840304346,54
Bajkalská,10528.767044172426,124
Lúčky,10403.325881549228,38
Komárňanská,10391.64148553099,66
Vranovská,10388.303071263006,35
Sokolská,10321.27471161358,47
Jarmočná,10298.586989446569,40
Malá,10268.996541190285,61
Komárňanská cesta,10255.187343710484,34
Pažitná,10214.13765444747,44
Andreja Hlinku,10210.193115676288,59
Malinová,10158.018994276572,58
J. A. Komenského,10130.772147721142,51
Jesenná,10118.381978833399,68
Mládeže,10091.74494995296,50
Krajná,10076.856073866795,48
Hrnčiarska,10016.79998883052,68
Cesta mládeže,9992.223608216224,56
Stará cesta,9976.227572683023,47
Púpavová,9937.525289181644,55
Nitrianska cesta,9829.15001362785,28
Teplická,9797.622229530387,53
Nový rad,9774.808955175538,20
Športovcov,9706.27953569332,47
Šarišská,9680.059616920866,36
Stredná,9554.3154500822,46
Alejová,9537.076066155269,71
Pod záhradami,9461.043900579034,39
Kopanice,9436.287439817748,11
Terézie Vansovej,9426.998960086301,43
Mostná,9413.344565768006,56
Malinovského,9405.928756042455,70
Červená hora,9366.86423275101,14
Stará,9298.797627959662,30
Lesnícka,9280.65869081422,48
Neresnická cesta,9261.153249809617,27
Šoltésovej,9231.138760402355,42
Lomnická,9168.556144785238,55
P. Jilemnického,9157.028544425217,44
T. G. Masaryka,9141.594209426023,72
Slanecká,9138.12558565421,89
Diel,9132.159831714089,6
Hraničná,9119.104748053025,63
Rybničná,9102.831382016437,50
Jurská cesta,9081.149627527344,12
Bazová,9006.89333024454,54
Vinohrady,8930.75458978454,18
Záhumenská,8908.936561396655,45
Cabajská,8887.468235450175,23
Staré Levice,8885.23997009798,30
