name,total_m,segments_count
MDŽ,1584.0068316365482,13
Na hôrke,1583.3071719321965,7
Pod Sokolice,1583.148675073867,18
Sándora Petőfiho,1583.127107082409,4
Sady pod Dedovcom,1582.973590564823,6
Nekyjská,1582.6696987501869,4
Medvedzie,1581.9107418860674,8
Za múrom,1579.2157887759945,8
Varšavská,1579.207643984536,17
Námestie sv. Jána Bosca,1578.3297403535605,15
Dimitrovova,1577.5028139849487,9
Kubínska,1576.4342234757084,10
Kupeckého,1575.4107068059202,18
Sv. Ladislava,1575.2191284080095,10
Ku kachličkárni,1574.1347905742605,4
Skladová,1572.3414965441964,8
Vyšné Matejkovo,1572.1445125099804,4
Flotačná,1572.0236204784167,1
Dubčekova,1571.6639234655859,9
Pod stráňou,1571.2443732612355,8
Chatová osada,1570.1857325469962,2
Kremeľská,1566.5048050202838,8
Malacká,1563.8111173744287,3
Obuvnícka,1563.5071431997544,6
Parádna,1563.0539395188216,2
Raveň,1562.3941378814743,2
Tarasa Ševčenka,1561.9866316088105,13
Termálna,1561.0439299111185,14
Nesvadská cesta,1560.4440210757934,3
J. D. Matejovie,1559.7384277362357,7
Chmeľová dolina,1558.8907676487029,6
Vápencová,1558.1141492919414,6
Horný rad,1557.8770502804373,4
Borinská,1557.5201601400454,7
Krynicka,1557.392303815343,11
Čkalovova,1557.0801231695775,6
Suchodolinská,1554.9755803961345,5
Almási utca,1553.8427288963558,4
Paričovská,1553.4463493073577,5
Jareček,1552.1166542333929,6
Baranecká,1549.5540711096496,8
Fraštacká,1548.9520562906337,6
E. B. Lukáča,1548.5787756902976,15
K cintorínu,1547.7449626537907,9
Zvončínska,1547.6041952053188,5
Malokarpatská,1546.2409255204414,8
Práce,1545.8407890267767,12
Dvoriská,1544.847476622234,6
Pri kaplnke,1544.745745597566,5
Dropie,1544.7170365899801,3
вулиця Іштвана Добо,1544.3520535133105,1
Rovinky,1543.7597146074752,7
Martina Čulena,1540.2939909362822,2
Černicová,1540.0261030101074,14
Podlipa,1539.2154341318096,6
Habánska,1538.7435480438387,5
Spišská,1538.3297776933784,10
Podtatranského,1538.2469202822494,6
Susa út,1538.104825757803,9
Krivánska,1537.7233203281767,11
Záskalie,1536.9783395943493,6
Červená,1535.2680456549763,7
Haanova,1534.2774910987964,11
Lozornianska,1533.9539345472135,5
P. Hostinského,1533.5896253867668,21
Leknová,1533.3296245814302,7
Námestie padlých hrdinov,1533.302923013045,20
Kopčanská,1532.2786973713687,15
Levočská Dolina,1531.4003821627305,7
ŠM Dolina,1531.376406990214,2
Nad mestom,1530.8908563767623,5
Watsonova,1529.5126107171263,27
Telka,1529.261555026203,6
Kuklovská,1528.8811154481632,9
Zemanská,1528.837975081075,5
Čierny chodník,1528.3871204529692,5
Francúzska,1527.0662381400846,18
Estakáda Podzávoz,1526.8175917961332,2
Maďarovská,1526.7173599648959,4
Tavaríkova osada,1526.5766660544798,8
Majoránová,1526.52721810019,14
Pod Šibeňou horou,1525.589616807734,10
Szentiványho,1525.4205730073445,23
Víťazná,1524.9947990099015,10
Oremlaz,1524.6916345810243,10
Hlbocká cesta,1523.4428511244078,3
Plavisko,1522.9888583752618,6
Studnička,1522.6275484733178,6
Sputniková,1521.4011016506117,8
Geologická,1521.169212543136,7
Tribečská,1520.6252141889977,10
Námestie sv. Martina,1520.5440564726593,17
Edmunda Petra Bardoša,1518.1787673710667,10
Novoveská,1518.1295495112518,7
Most Plevník-Drienové,1518.1045240990486,5
Jedlíkova,1517.3615234099589,10
gen. M. R. Štefánika,1517.090970829951,10
Panská cesta,1515.9157067152587,3
Ladislava Medňanského,1515.7496931258218,11
Osada,1513.5869064942349,9
Čerešňárka,1511.4346425249964,3
Cetunská,1510.6783162931729,2
Antona Václavíka,1510.6688648353029,3
Martinská,1510.2480131828715,18
Cíferská,1506.4212760500097,3
Bazovského,1506.2382765151392,10
Štefánikovo nábrežie,1505.6682359320898,17
Eisnerova,1505.4034778380048,20
Poľská,1504.9370265298382,7
Hlinícka,1504.1342980359955,6
Dr. Clementisa,1502.0409813230249,5
Pri bitúnku,1501.517945858482,9
Lomená,1501.1343807630194,8
Do Gazárky,1499.918939281069,5
Letištná,1499.695440361346,5
Štúrová,1498.594541728261,4
Rúbanisko III,1497.8923993071444,16
Ružičková,1497.4119738753711,8
stará zelená značka,1497.279379307237,4
Malodvornícka cesta,1496.882491377337,3
Strieborná,1496.8157384754875,14
Hrabinská,1496.5410614881303,7
Levárska,1495.7280907573065,8
Sadovnícka cesta,1492.8122619587655,4
Americká,1492.0835609391877,8
Štále,1491.9683567996397,1
Átriová,1491.711189833262,12
Podhrádok,1490.555398490071,5
J. Gagarina,1490.4217579133826,6
Dudvážska,1490.4170400162725,3
Jána Hajdóczyho,1490.1410584263378,7
Okoličianska,1488.3970841090122,14
Starý poľovnícky chodník,1488.1139645508429,1
Šmidkeho,1487.9790782651476,9
Budai utca,1486.2462629289378,5
Janka Matušku,1485.8493257604243,6
Lemeje,1484.3943783970365,8
Jarošova,1483.0645828082875,15
Záblatská,1481.919271620605,14
Gápľová,1481.5766266442974,10
Harmincova,1480.9832165388514,25
Laskomerská,1480.452440853559,7
Elveš,1478.3684891695225,1
Olšiny,1477.8013970715851,3
Pod hradom,1476.8429072074707,11
Jaskový rad,1476.0388118918772,12
Kúpeľská,1475.1639143343705,3
Víťazstva,1474.0197817226008,6
Pri štôlni Elisabeth,1473.2440714133097,2
Veľkonecpalská,1472.0785628794224,12
Betlehemská,1471.0630936718599,6
Jána Lazoríka,1470.9891714427504,4
Hlboké,1470.189143651347,15
Antona Prídavka,1469.1984016148476,14
Miloslavovská,1468.424768594543,3
Koniarekova,1467.0780230593084,15
Zeleneč,1466.6833865411768,2
Stodolisko,1466.6038711830488,6
Venevská,1466.0989741061792,12
Nová ulica,1465.8941848301222,5
Drahy,1465.4786900010008,3
Parková cesta,1464.7005915245838,4
Medovková,1464.5021917665679,12
Nobelova,1464.4410985775196,12
Holý vrch,1463.7953800883683,1
Petržalská,1462.722132721464,10
kpt. J. Nálepku,1462.3932212809907,6
Vínna,1461.703523798737,9
Ignác stredná,1461.1249320315387,3
Nábrežie za hydrocentrálou,1460.8297532593629,9
Trieda Hradca Králové,1459.8508651409888,7
Pod Zábrehom,1459.5726231255962,4
Levočské Lúky,1459.1553194898938,7
Fínska,1458.9991284269236,6
Záhumenná,1458.8360449885329,4
Edisonova,1458.7368658901992,8
Martinská dolina,1457.1824714273928,5
Trojity vrch,1456.0597695750118,2
Sásovská cesta,1456.0296529714306,8
Súkennícka,1455.4006446753328,13
Gróner,1454.5018813528109,4
Hanzlíkovská,1454.4423749959874,12
Fojtová,1453.6219655752452,2
Krakovská cesta,1453.4655770878733,5
Medzník,1453.3059323855712,1
Františka Hečku,1452.8999814435115,7
Do Pažíť,1450.8793096928293,1
Jurská,1450.3845545719537,10
Bôrina,1450.327475999326,5
Olšavská,1450.1848934613517,6
Dlhé hony,1450.05106727499,16
Havrania,1448.5867389241062,6
Pod kaplnkou,1448.51641300253,9
Zlatý Karas,1447.7177920006375,1
Horný Štverník,1446.9370482611334,1
Podzámocká,1444.1467077586367,8
Haličská cesta,1441.644747836077,20
Mokraďská,1441.6321795729687,5
Oľšavská,1440.0893861837158,7
Němcovej,1439.827973673502,10
Richtárske pole,1439.6206378314719,7
Vápenická,1439.490349261024,4
Dlžiny,1438.6269543988226,5
Kerepec,1438.3170878957444,3
Cesta J. Alexyho,1437.5807496291975,3
Na pasienkoch,1437.1013622210473,13
Rošlímska,1436.208058715634,2
Beňovolehotská,1434.5205748293486,5
Poroská,1433.1093944202103,4
Krivý kút,1432.9758945915098,9
Pri kamennom moste,1432.1556754636997,7
Sv. J. Nepomuckého,1431.8200836738336,6
Svätourbanská,1429.9863189806147,13
Stavbárov,1429.9857584522892,8
Ľ. Fullu,1429.58242432301,9
Á. Jedlika,1429.579101647368,8
Družobná,1427.5964155157064,8
Námestie Dr. A. Schweitzera,1425.3876130895726,3
Zimná trasa,1423.6672707994826,6
Nábrežie sv. Cyrila,1423.3659492800568,11
Ku vykládke,1423.203390205977,2
Nová Manina,1422.8389302885437,3
Andreja Bažíka,1422.6504402951973,9
Jahodná,1422.48012989262,6
Vyšný závoz,1422.013496209423,3
Štepnice,1421.6034832795372,7
Na Bystričku,1421.593879876159,7
Jána Hlubíka,1421.4610302762376,15
G. Bethlena,1421.0732900962093,16
Riečan dolina,1420.4967494326925,3
Horná mlynská,1419.0842637791973,1
Na Podstráni,1417.2579402754918,6
Soľná,1417.0075387064664,12
K mestkej Bôrovej,1416.8936499992747,3
Prístav,1415.4956143071113,3
Ligetská,1412.1691263449936,7
Letná trasa,1411.7288301150224,1
Dilongova,1411.694586342092,11
Borievková,1410.0356371966418,8
Dr. G. Schaefflera,1409.4384962672375,9
Zátôňská,1409.330163523156,5
Helsinská,1408.462124002816,7
Odtrnovie,1407.7996037827797,1
Predmestská,1407.159948663409,10
Kuzmányho nábrežie,1406.6824325253638,7
Za poštou,1406.5692112938411,7
Červené kopanice,1406.2911488981626,12
Čermeľské prielohy,1406.1147144485014,4
Bakossova,1405.796418294678,11
Bernolákovská,1404.989199942793,3
Slov. národ. povstania,1404.8280259956377,6
Pod Dielom,1404.2311571623509,4
Kruhová,1403.2320513713967,12
Topásová,1401.1881897834137,8
Svätého Urbana,1400.7739938298446,6
Šulekovská,1399.0325475430552,4
Rajčanka,1398.6927710932325,4
Na Podskalku,1398.6629811675343,2
Záhrada Bernátovce,1398.4514172467914,9
Trosky,1397.6019396774725,7
Lukovská cesta,1397.1743196244988,9
K. Sidora,1396.51951548137,5
Jozefa Rholla,1396.3139108282924,4
Na jazero,1396.1275528832402,3
Šaštínska,1394.6160580627645,6
Most Predmier,1394.5410758567161,2
Koreszkova,1393.2352150801833,9
Svodínska cesta,1393.226115882615,3
Mliekárenská,1392.18446130988,6
K vinohradom,1392.074937997335,6
Rulandská,1390.2872407952714,10
вулиця Героїв України,1390.1743321668284,1
Zakarpatská,1390.095404893053,10
Bzinská,1389.2566204651607,10
Čepeľ,1387.5984987957863,7
Vojanská,1384.7569470411458,4
Ďurovka,1384.5598301061495,3
Ostravská,1384.5149510672331,6
Podsúľová,1383.3816294697835,4
Farský briežok,1382.5530464720257,2
Hlinská,1381.9921478970073,16
Krivianska,1381.8326292905367,7
Dolné Rudiny,1381.5589854246782,2
Tehlianska,1379.5152460046916,1
Zelenečská,1379.2023605241263,24
Most SNP,1378.8707270858317,11
Rezidenčná,1378.6201626530503,4
Ivankina alej,1378.0415786769577,3
Potravinárska,1377.3608392554252,5
Sedlová cesta,1377.2392400838012,6
Vieska,1376.9708757688393,5
Mozartova,1376.1575533476923,11
Rakovec,1376.013940090122,10
Zakladateľov miestnej časti,1375.791148341261,6
Pod Borinou,1374.9343896905261,6
Kátovská,1374.8227947140554,8
Albínov,1373.9429757230187,3
Slovanská cesta,1373.3864272493886,4
Benzinolská ul.,1373.0849307997241,1
Samporská,1373.0348562561373,13
Grúňanská,1372.3300382098696,4
Skubínska cesta,1372.3242285695458,9
Alexandra Pénteka,1372.161449148501,7
Slovenského Raja,1371.9438986518794,5
Nemeckosvodínska cesta,1371.7100402671806,6
Bikefest Enduro,1371.179066508903,1
Ružový háj,1370.4874678591025,8
Cesta na Ciglédku,1370.1137299689412,3
Jeruzalemská,1370.0287825335333,9
Priechodná,1369.8079836628958,9
Nagy út,1369.6776404970446,3
Cesta pod skalou,1369.6756805920127,2
Nad brehmi,1366.6185058063363,5
Maková,1366.4726367895096,9
Kolpašská,1365.5908812843004,10
Björnsonova,1363.7448136887642,7
Dechtáre,1363.57623280378,2
Budulovská,1363.4014711848404,3
Sekule,1362.8018826478788,2
Rohatka,1362.4783229246445,2
Mengusovská,1362.4540798268517,6
Hodrácka,1362.4415335469862,3
Jána Amosa Komenského,1362.1610965849427,5
Dr. Vladimíra Clementisa,1362.0144871072014,3
Miloša Uhra,1361.407186850634,10
Múrna,1360.6803090886667,3
Bitúnková,1360.378769179989,10
Popolná,1358.8795599439836,11
Nábrežie Ľubomíra Kadnára,1358.2878621126415,6
Kanašská,1358.2082256013884,3
Košovská cesta,1358.140865946426,13
Lúžňanská,1357.8736269329631,2
Tunel Žilina,1357.3029388283599,2
Dolné lúky,1356.6722635353888,16
Vápenná dolina,1355.7737982132421,1
Violin,1355.215201469107,2
Angyalova,1355.1361790680426,11
P. Mudroňa,1355.0794943516537,13
Kviatková,1354.1224025710478,6
Sladovnícka,1353.6944921003358,17
Harangovská,1353.4846344692573,3
Mlynský rad,1353.250483288516,2
Zastávka,1353.1659623271803,3
Námestie Milana Rastislava Štefánika,1352.5216711923201,15
Hurbanovská,1352.4168078007344,2
Górny Płaj,1351.6060299252085,1
Panská,1350.702403681976,8
Dvořákovo nábrežie,1350.3097499407525,9
Rybná,1350.238058365334,4
Studenohorská,1350.1158332624857,8
Kacvinského,1349.4435496398773,9
S. Petőfiho,1349.1128879121452,3
Krosnianska,1348.152504271345,8
Jána Dalloša,1347.5106568761373,6
Hlohová,1347.4600159803454,10
Niklová,1345.8833948198806,3
Moskovská trieda,1345.8627738595137,22
Brehy,1345.5181320167412,9
Zámostského,1344.6129581000214,7
Skalisko,1344.218825700214,4
Vrchná Mrzačka,1344.1564611392123,2
Lán,1343.6859958553223,2
Univerzitná,1343.439166853701,9
Šarkaň,1343.2561790337397,2
Ku štvrtiam,1343.0251783853132,15
Čierny lúh,1342.8203964757386,5
Šteruská cesta,1342.7240196942446,1
Žofijská osada,1342.613048321242,5
Ludanská cesta,1342.3205245958804,9
Sekvojová,1342.0069245061575,9
Roľníckej školy,1341.92836938855,11
Zavarská,1341.8896053787307,12
Baňka,1341.7591230894443,7
Dvorská,1341.6756637128267,7
Pri Vápenickom potoku,1341.6410769885754,8
Lazianska,1341.5315882964983,9
Kňazova dolina,1340.9387497033467,3
Laskomerského,1339.3399657902237,6
Bananská,1338.3018490289674,11
Na Kalvárii,1337.9539441663887,12
J. Wolkera,1336.9681906371852,7
Podvŕšie,1336.9202868720467,2
13. januára,1336.837728334631,3
Svidnícka,1336.4638771836126,4
Senčianska,1336.2722560555699,2
Na Majeri,1335.5005062428247,4
Výskumnícka,1335.3050687532373,2
Magnetová,1333.5484946287543,7
Pri prameni,1333.2097194575445,7
Hany Meličkovej,1333.107799194453,11
Vnútorná okružná,1333.0953606943137,12
Tatranská cesta,1332.8428405263965,8
вулиця Князя Олега,1332.1499885484595,1
Jozefa Kozáčeka,1332.1242124897315,16
Psíky,1332.0285909337254,5
Krivínska,1331.9127712057862,11
Pod vŕškom,1330.8158553687254,8
Sološnická,1328.3187764920963,6
Samota,1327.7900200217666,4
Rúbanisko I,1327.7762115199232,11
Vadonská,1327.7161648891297,5
Cukrová,1327.6868248043097,19
Argentínska,1327.5181076087513,2
Ťahanovská,1327.4191647147236,15
Istrijská,1327.2268147435664,7
Pri Úpuste,1327.1301025181108,4
Na križovatkách,1326.7156403485928,11
Strážna,1325.7057250874823,5
Lánová,1324.229106976791,5
Trubska cesta,1323.933352072454,3
Pod Zlatým brehom,1323.2567180155734,7
Ferka Urbánka,1323.0811471868806,10
Tomašovská,1321.9065704085551,5
Kovaľská,1321.7907197527907,3
Pod Gombášom,1321.6643910972095,7
Sídlisko Mladosť,1321.5405452939126,13
Palisády,1320.1837616732387,9
Rajčianska,1318.7750400211723,7
Bysterecká,1318.7465812209473,5
Žabia,1318.2111487898228,8
Jatovská,1317.9720373289895,2
Varichovská,1317.6823721107783,3
Železničný riadok,1317.3497078112985,5
Cesta pod Hradovou,1317.1512789877515,11
Węgierska,1316.2632934343228,5
Bartókova,1315.8681934813626,8
Balkán,1315.7255223992934,13
Cesta pod Bánošom,1314.8782561108583,4
Rajná,1314.6419421027013,5
Mokráň záhon,1314.567107765335,4
Odborárov,1311.9359420528665,7
Sesíleš,1311.237336590447,4
Bielska,1310.3881352256994,4
Milhostovská,1309.7070554104182,5
Medvedia,1309.3193854696997,12
Rohacske plesa - Tri Kopy,1309.2283660338546,1
Trieda 1. mája,1308.5460975584197,8
Wuppertálska,1308.2172811452403,5
A. S. Puškina,1307.8971275275615,8
Na ihrisko,1307.8770709938706,6
Šustekova,1307.6537280213872,17
S. Jurkoviča,1307.2780991229815,9
Maciejka,1307.1751319582754,2
Alexandra Rudnaya,1307.066599289861,10
Hrabcova cesta,1305.2992033450987,3
Morovnianska cesta,1304.870152582419,6
zostupovka,1304.2397673989276,3
Prielohy,1304.1771783795925,8
Nad Hrabinou,1303.948434737141,6
Prúdy,1303.479768831234,5
Palmová,1303.3737475909124,7
Školské námestie,1302.7108070233219,11
Cesta pod lesom,1302.0892518814953,1
Štúrovo nábrežie,1301.1515227715133,9
Zákostolská,1300.8006735609429,2
Levočské kúpele,1300.2847713780334,3
J. Švermu,1300.0844768246475,12
Žobrák,1300.012691975844,1
Ďurkovská,1298.9166511104274,3
Rákóczi Ferenc rakpart,1297.9997267731992,4
Pobrežná,1297.9281513059163,6
Rúbanisko II,1297.8743743199047,7
K vodopádom,1296.9487563078874,9
Kohútova,1296.510533127518,14
Dózsova,1295.889524251724,9
dlhogúňový,1295.744907140626,1
Príles,1294.2459890849914,7
Bokšanská,1293.5729481133162,6
Pod lipkou,1293.188239752305,6
Jozefa Murgaša,1293.0020844123198,8
Továrenska,1292.8978431334172,7
Strečnianska,1292.6491447982785,6
Dolné pažite,1292.6396338081074,10
Štvrť Kapitána Nálepku,1292.1396222393948,10
Ľuda Ondrejova,1291.9753161993842,10
Kamence,1290.8298623035507,5
Urxova,1290.416121512188,8
Zaczerczyk,1290.3920497587762,5
Novoviešťanská,1289.4883335202744,3
Landererova,1288.462853624399,23
Velická cesta,1288.0156573836039,3
Priateľstva,1287.6727589630582,7
Nadjazdová,1287.4480094797436,20
Sobieskeho,1286.777989415365,10
Požiarna,1285.3411558490534,7
Starorímska,1284.7794898826535,10
Hriadky,1284.6704521782535,5
Savinova,1284.2823645837584,4
Sama Chalúpku,1284.0091131889533,6
Zichyho,1283.7052999753375,7
Zamarovce,1283.2832525164208,2
Štúrovo námestie,1283.1712914319921,25
Pod sadom,1281.248889836841,6
Do Uhliska,1281.2461419588426,4
Na Hrunku,1280.9035621565458,9
Morovnianska,1280.3585965700015,11
Údernícka,1279.8054074666513,9
Šupkova,1278.9214969947586,5
Lomonosovova,1278.5211239367563,8
Jurka Langsfelda,1278.2057905592337,2
Roháčska,1276.6289391063578,3
Irányi Dániel utca,1276.3139392971475,1
Stráž,1275.6514923815364,21
Pieninská,1274.623267126771,7
D. Štúra,1273.9447938375858,8
Námestie svätého Egídia,1270.3207889721693,17
Bacskádyho,1269.8418311357916,5
Kríková,1269.381568835172,7
Boľská,1269.316314608674,2
Maxima Gorkého,1269.2792041264363,7
Slávikova,1268.9778413923566,4
Zakikula,1268.744435508719,3
Nitrianska ulica,1267.8369815374942,1
Búčska cesta,1267.3327739412898,5
Rybníčky,1267.0998204039643,7
Zechenterova,1266.6416068449516,13
Osvety,1266.5664958938871,8
Sídl. M. Corvina,1265.5188217893533,7
Hermanovce nad Topľou,1263.7606373602848,2
Goralská,1263.2667083407325,4
Dionýza Štúra,1263.1572783358674,7
Pod gaštanmi,1262.9977003429854,7
Ficberg,1260.8373796594246,1
Párovská,1260.3784717256553,5
Istvána Gyurcsóa,1260.2754093373426,12
Piešťany,1259.13780045838,4
Chrenová,1258.7966646866835,8
Hortobáďska,1258.70341345302,5
Ádorská,1258.694453024792,5
Beniakova,1258.35332888813,7
Rosná,1256.781487578026,11
Horný Majer,1256.0097432711107,7
Juraja Závodského,1254.9718555440681,4
Ľ. Ondrejova,1254.5656218898105,22
Kamenné pole,1254.3498056348556,12
Orlia,1253.6244425783834,8
R. Viesta,1253.1270817033349,1
Nad Záhradami,1252.3747025817288,2
Kapustová,1252.1013525088733,6
Belianska,1250.9901456849218,5
Šintavská,1250.437494031484,18
Sv. Petra a Pavla,1249.6210607743799,3
Šóšár,1249.330099330797,1
Lichý potok,1249.0937677884995,1
Na Kempe,1248.4879542398512,2
Kossuth út,1247.540722216323,2
Svetlá,1247.312051021715,5
Čingov,1247.299266936336,5
Ráztocká,1246.3016796550207,10
Havlíčkova,1245.4256689937974,8
Uhlištná,1245.3172375086565,6
Max Brose,1244.9332663637726,14
Ráztočná,1244.6044822809222,5
Zábava,1243.7492983808747,5
Sv. Jána,1242.7556173520702,6
Starogalianska,1241.9740165311089,3
Južný lesnícky chodník,1241.5860644539496,2
Súdna,1240.6419967600914,7
Atletická,1240.4295002534452,6
Pribenícka,1240.1182899440694,6
Liešnica,1239.090746417773,3
Konrádova,1239.0236578684269,4
Na Pleš,1238.8371576232782,5
Nad hrádzou,1238.3870808179963,2
Panský chodník,1238.0711196058348,2
Žatevná,1237.647838238479,8
Maďarská,1236.3013086608678,9
Markušovská cesta,1235.8722872029937,6
Pod Hradiskom,1235.7530113719704,9
Na Gremenici,1235.583153536307,4
Rumunskej armády,1234.5721344412023,10
Smoliacký závoz,1234.3141488259334,2
Námestie Mládeže,1233.8080826036055,10
Kľačianska dolina,1233.3629723103643,9
Cesta na Lél,1232.6412878909225,1
Winterova,1232.5264764161864,38
F. Rákocziho,1232.2192132109126,8
garabošský,1231.8427325588693,1
Kapusnícka,1231.4843222720976,2
Hrežďovská,1231.1039552966672,7
Tokajícka,1230.8039207589616,5
Eötvösova,1230.7986896528137,4
Zákutie,1230.7074353894304,3
J. Thuróczyho,1230.290299399629,4
Mudrochova,1229.9695443946575,6
Roľa,1228.956970982477,2
Kapušanská,1227.0796845364337,5
Bexeľ,1227.0792120838778,6
Honvéd utca,1226.7012538154213,1
Kikula,1226.278941630338,4
Pod Zečákom,1226.1893906515359,7
Generála Klapku,1225.9528542710868,1
Pajštúnska,1224.9920156056503,14
Bankov,1224.8873355918838,5
Milana Thomku-Mitrovského,1224.614681002114,7
M. Dulu,1224.5675918059862,9
Gavlovičova,1224.3807537489224,8
Beckov,1221.627853366058,2
Párovce,1221.5129386721455,6
Súhradka,1221.3162458110169,8
Bárdošova,1221.3127033055466,13
Okočská,1221.140144572028,6
Selčianska cesta,1219.9630441604882,3
Panholec,1219.9007058234633,8
Pavlínka,1219.2980887103,1
Rínok,1218.9703164402968,6
Buzinská,1218.9438821952444,9
Dostojevského rad,1218.884312858712,25
Rad,1217.888285409817,3
Schubertova,1217.455498713871,6
Jadranská,1217.3830285984586,4
Deák Ferenc utca,1217.113733279672,2
Nové vinohrady,1216.8080493777788,3
Družstevný rad,1216.4053886177792,6
Sitnícka,1216.0393640351167,8
Chalúpkova,1215.8070645748319,6
Roveň,1215.7796473763042,4
Somolického,1215.373075698251,4
Proletárska,1214.567687704088,4
Žigmunda Silbigera,1214.1330982180173,6
Radzovka,1213.8658077947946,7
Pri tehelni,1213.3953374361136,7
Na Kamenci,1212.8051009914136,11
Boriny,1212.5597437343868,3
Hríbová,1212.1901037657676,5
Rehabilitačný chodník,1212.091456734,10
Silvánska,1211.0672561375836,10
Doliny,1210.3396695999263,5
Píla,1210.0299688356224,7
Holubia,1209.806107127942,9
Starobystrická,1209.674192342265,2
Kragujevská,1209.4198773714718,11
Stračia,1209.3882816983078,6
Rapatská,1208.9909150825636,3
Muráňska,1207.2913820614212,6
Pri starom letisku,1207.2038050964197,16
Amazonská,1206.0326790257136,11
Pčolinská,1205.4598372393084,6
Ivana Houdeka,1205.1695413900227,11
Dánoš,1204.6959686736848,5
Prosiecka jaskyňa,1204.6614724258,1
Bukovské,1204.1978656403644,3
Na Veľkú Budafu,1203.6347652231166,1
Hornonitrianska cesta,1203.436654150171,4
Majirska draha,1202.849632943019,1
Pri Celulózke,1202.719297476431,20
Vendelínska,1200.5840310659432,6
Pod sýpkou,1200.314005767894,8
Bazalková,1198.5017580776068,8
Egrešová,1198.4046976597972,6
Dzúrová,1198.3217217226643,10
Vtáčia cesta,1198.3008659454927,1
Pri Čiernej vode,1198.2480285043089,4
Pentelská,1197.0174200011381,3
Na dolinu,1196.917069250116,5
Suchovská,1196.5967428091199,7
Štvrť Čajkovského,1196.3942167882828,7
Š. Moysesa,1196.0666723697668,7
5. apríla,1195.187607084832,11
Pod javorom,1194.779997627264,5
Pod Hájmi,1194.6018114033923,7
Biela,1193.9537182579013,9
Jahodnícka,1193.3729403966306,4
Juraja Sklenára,1192.7958930579164,10
Ruskynovský chodník,1192.5937996329606,1
Čiernohorská cesta,1192.1211759548676,2
Pod Horou,1191.8596169315583,3
Kriváň,1191.8128252097217,4
Okrúhla hora,1191.4408344291724,2
Nábrežie Ľ. Štúra,1188.130348586318,8
Jakuba Haška,1186.9060199090409,3
Pod kanálom,1186.3832925099991,3
Staromlynská,1186.3046785943886,6
Uralská,1185.6502673015568,5
Žitnoostrovská,1185.2201790291033,6
Tulčícka,1184.4641877410547,3
Hlavina,1183.5753211781832,1
Spirytusowa Droga,1183.4633979131963,2
Jozefa Gabčíka,1182.4839464988577,3
Sacherova,1182.4310207608678,1
Ostrovná,1180.522522894206,6
Krpelná,1180.2717496881282,2
Bakulínyho,1180.0895013875556,4
Rešov Majer,1180.0527842839415,3
Bačova cesta,1180.0257673713006,6
Podskala,1179.874045271444,7
Tunel Šibenik,1179.4602452942363,2
Slávičie údolie,1179.3535344047268,14
Kráľová,1177.6790754553497,5
Žarnovická,1177.5605124335693,7
Cesta na štadión,1177.3739956068698,20
Medený Hámor,1176.7441292568537,8
Osuského,1175.7831372102041,11
Pod brehom,1175.6153487620659,6
Starojánska,1174.2272754966891,8
Hlinická,1173.4638279842623,5
Poľovská,1172.2941547802286,6
Pijavice,1171.83401204047,1
Alej Slovanov,1170.8392674637637,1
Nemocničná cesta,1169.9975832196255,5
Povodská cesta,1169.8570111297897,4
Trebejovská,1169.544934099177,4
Pri Štadióne,1169.3683620841693,2
Lovčická,1169.2606553969524,7
Pod Urpínom,1168.404487574152,11
M. Medveckej,1168.1776975015823,5
Sídlisko Cementár,1168.1295086814553,4
Doležalova,1167.6937219727329,4
Kokšovská,1167.5575365389966,2
Skýcovská,1165.5164841264598,9
Nadbrzeżna,1165.426555327741,1
Na Priehon,1165.236929557296,3
Pod skalou,1164.0189796010677,7
Na dolinách,1163.1426757904892,7
Rozvojová,1162.2620020684396,13
Traverz 2,1162.0050551911354,1
Guothova,1161.416858154959,7
Prúdová,1160.9491699048906,9
Na serpentínach,1160.9356167677154,1
Hrachová,1160.595550329979,4
Jalovská,1160.4860267057563,9
Štefankova cesta,1160.3719289074788,2
Sokolecká,1159.5564705130864,7
Maloveská,1158.7533964614781,14
MOBIS,1158.6023841403032,9
Grófska,1158.4505212828694,3
Vozokanská,1158.0770870304304,4
Dubnická,1157.484341355841,7
Pod Debrami,1157.2618149544494,5
Zimný potok,1156.7478888338119,3
Rožňavská cesta,1156.6846667832253,11
Zádubanská,1155.880669806291,2
Úvozná,1154.0829107089205,6
Kvetinová,1153.6409906309625,6
Švecova,1153.4960031161918,3
Pribetská,1152.66285350794,4
Saleziánska,1152.6146824521309,13
Jozefa Cígera Hronského,1151.953313142355,6
Orešanská cesta,1150.5900587373253,3
Táňa,1150.1282400212478,1
Karčianska,1149.975710411853,2
Ž. Bosniakovej,1149.2831451987063,9
Sekurisova,1148.7669165487307,6
Zigmundíkova,1148.7005066901702,8
F. Rákócziho,1148.2516326220625,4
Iršajská,1148.219191930145,11
Cyklochodník Bohdanovce - Boleráz,1147.8434605029952,1
Pri kalvárii,1147.458832028739,5
Prašná,1147.0776926750132,7
Senická cesta,1146.5080221091744,4
Pod Dubinkou,1145.719174899422,9
Diakovská,1145.5026853469858,2
Štefana Baniča,1145.0777864607458,2
Námestie Matice slovenskej,1145.0525388825743,24
Čučoriedková,1144.9684908203344,13
Sídlisko SNP,1144.705459669408,9
Záhradkárov,1144.2527657159283,1
